Pseudo Rapidity of 0n0n:	Pseudo Rapidity of 0nXn:	Pseudo Rapidity of XnXn:
5.44709	7.07299	-5.8474
-5.9211	7.97515	5.99166
7.05737	-6.84924	5.02189
7.68229	-6.29636	-4.71125
-6.05206	7.42771	-5.36144
6.06514	-6.62894	-7.25705
5.95336	-6.75649	-5.9765
6.72086	6.948	-4.07258
-6.87307	-6.93953	-5.5441
-7.10046	-7.2588	-5.24807
5.57274	-6.90136	4.41893
-6.44018	7.43885	5.15538
5.79229	-7.49698	-5.00274
-6.72406	-6.11182	6.9997
-7.11331	7.15303	7.01538
-7.05549	6.86401	-5.61026
7.37233	6.93592	-6.59503
-6.47021	-7.14125	-6.84878
-6.9389	7.20254	-5.75567
-7.09689	6.68755	7.54068
7.92497	-3.70135	-7.16156
5.43409	-5.53047	7.6297
-6.94939	7.74625	7.0209
6.22432	6.89537	6.84843
6.67912	-6.44155	6.78055
7.79162	6.71619	-6.4513
-7.34051	6.8551	-7.64071
6.81355	7.35338	-7.99806
-7.12982	-5.76112	7.137
7.31308	4.88876	-7.47381
-7.28575	6.01852	-6.16441
-7.34197	-7.31645	6.39058
6.27898	-6.39739	-7.5454
7.91662	4.54872	6.91445
-6.72049	5.3039	-7.60036
6.30089	-5.90851	7.13095
6.61247	3.74677	7.33567
6.8236	-5.91978	-7.74201
6.33046	6.40507	7.10956
-6.92319	-4.90024	8.35702
-6.24642	6.37663	-7.43969
-5.7265	-5.39109	-7.28129
7.16059	5.72321	-7.4207
-6.86678	-7.00766	6.08963
6.05008	6.33957	-6.27538
7.19501	-6.24408	7.02056
6.07375	6.19572	7.16429
4.13888	-6.15398	6.02671
3.87013	6.0934	-6.79128
-5.57916	6.10077	-7.00359
5.57273	4.29239	-5.78231
-7.72579	5.15671	5.7682
-7.49153	6.38807	6.20069
-4.42177	-4.84587	7.13548
4.61916	-5.15983	-7.14337
-4.97382	-5.02358	5.6349
5.39572	5.70369	-5.83542
-5.69733	-5.46415	6.06672
-4.97664	4.68738	-6.65324
5.39878	-4.98073	-4.59205
-5.65781	4.97103	-4.22866
-6.03539	-5.01821	-4.86444
5.30438	-5.0011	4.78116
5.80254	-3.92305	-5.09484
5.91006	4.43002	-4.08858
